,title,title_label,description,description_label
0, 모바일  메인 홍보 모델로    설현  선정,1,한편   설현 은 최근  코로나  바이러스를 다룬     시리즈   세계적 유행 에서 다큐멘터리 내레이션에 처음 도전해 호평을 받았으며   의 새 드라마  낮과 밤  출연을 검토중이다  게임과 이벤트에 대한  ,1
1,김병민  기본소득도 필요하면 논의 테이블에 올려야   인터뷰 ,0,변화의 핵심 중에서는 우리 사회가 신종  코로나 바이러스 감염증 코로나 의 위기를 마주하고 있다  언제 끝이날 지 또 앞으로 어떠한 미래가 펼치질 지 모른다  국가가 나서서 국민의 어려움을 해결해 줘야 한다  저희  ,1
2,국내  대 항만  월 물동량  인천항만 상승곡선 ,1,전국 컨테이너 처리량  만  국내 항만은  월 들어 신종  코로나 바이러스 감염증 코로나  사태가 본격화되자 물동량이 줄어들며 부진에 허덕이고 있다  그 와중에 인천항은 중국 항만 정상화에 따라  ,1
3,경기도의회 농정해양위  농민기본소득 도입 이재명 지사와 집행부에 강력 촉구,1,한편   코로나 로 인한 해외의 식재료 사재기에서 보듯이 국민들의 먹거리를 안정적으로 생산하는 것은  포스트  코로나 의 주요과제로 부각되고 있어 농민기본소득 도입을 통해 안정적인 생산기반을 확충하는 것은  ,1
4, 코로나 로 인해 변한 원광한의대 경혈학 실습 풍경,1, 코로나  사태가 지속되면서 한의대 강의 역시 대부분 비대면으로 이뤄지고 있다  그렇다면 대면 실습이 불가피한 강의실의 풍경은 예전과 어떻게 달라졌을까  현재  코로나 로 인해 대부분의 학과수업이 비대면으로  ,1
5,경산시 농산물 드라이브 스루 특별할인 판매행사 개최,0,이번 행사는  코로나  확대 장기화로 인해 지역소비 판로에 어려움을 겪고 있는 농가 돕기 등 소비촉진을 위해 마련됐다  행사에는 계란 구  연근  햇감자  새송이  방울토마토  깻잎  햇양파  오이고추 등  개 품목의  ,1
6,당신이 아는 미술  시장이 아는 미술   한국 현대 미술 시장을 이끄는 작가,1,최근 갤러리 현대 창업  주년 기념전에 이 작품이 전시되자  코로나 의 영향에도 마스크를 착용한 관람객의  미술계 트렌드 그리고 한국 미술 시장 글 정태희 서울옥션 스페셜리스트 세계 경기 침체와  코로나  여파로  ,1
7,제 회 부산국제영화제 공식 상영작 모집  공식 ,0,전 세계가  코로나 로 전례 없는 위기를 겪고 있으며  이로 인해 국내외 영화계도 예상 못한 타격을 받고 있다  부산국제영화제는 이러한 국내외 상황을 인지하고 예의주시하며 정부 방침과 권고를 준수할 것이다  ,1
8,  상반기 신입 및 경력직 공채 시행,0, 코로나  감안해  차 면접  비대면 역량검사  도입 국내 최대 치킨 프랜차이즈인 제너시스 비비큐 회장    채용관계자는  는 한국을 대표하는 책임감 있는 브랜드로서  코로나 로 침체된 채용 분위기  ,1
9,미소짓는 의료진,0, 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들이 가수 폴 킴의 공연을 보고 있다   뉴스 ,1
10, 포스트  코로나  대비 투자 잰걸음 나서는 게임사,0, 이승원 넷마블 대표  신종  코로나 바이러스 감염증 코로나  확산으로 언택트 비대면  문화가 차세대 미래 먹거리로 부상되며   포스트  코로나 를 준비하는 게임사가 늘고 있다  게임사의 산업 구조 개편도  코로나 를  ,1
11,휴넷  리더십 게임러닝 프로그램  아르고  출시,0,플립러닝은 온라인 학습 후 교실에서 토론 및 심화학습을 거쳐  거꾸로 교실 이라고도 불리며  포스트  코로나  시대 교육 방식으로 주목받고 있다  아르고 리더십 편은 다양한 상황에 따라 게임을 통해 리더십 유형을  ,1
12,광주 서구 양동  민 관 협력으로 주거환경 개선,0,특히 오래된 도배 장판 및 침대  장롱 등 가구 교체와 함께  코로나  예방을 위한 방역도 진행하는 등 쾌적한 주거환경 조성에 힘썼다  변미자 양동 동장은  어려운 이웃을 위해 봉사에 나서준 이들에게 감사하다 며  ,1
13,손흥민의 고백   주간의 군사훈련  힘들지만 즐겼다 ,1, 코로나  사태가 터진 가운데 병영생활을 한 손흥민의 경험은 영국에서 화제다  손흥민은  첫 날은 서로 잘 몰라서 서먹했지만 금방 친해졌다   명이서 한 방을 썼더니 정말 친해졌다  서로 돕고 호흡이 좋았다 고  ,1
14,   카타르  선 수주  문 대통령 경제외교 결실 ,1,청와대는  일  해외에서 낭보가 이어지고 있다 며  문재인 대통령이 포스트  코로나  시대 경제위기  이어  정상회담을 통해 양국 간 협력을 에너지 외에 의료    등으로 확장했고  최근 카타르에  코로나    관련  ,1
15,김포 혁신교육지구 사업  특수교육대상자를 위한 교육과정 지원,0,정하영 김포시장은  혁신교육지구 사업 내 특수교육 대상자를 위한 사업이 별도로 편성돼 소외되는 학생들이 줄었다 면서  코로나 로 인해 교육과정 운영이 쉽지 않을 것으로 판단되지만  학생들의 안전을 위한 방역과  ,1
16, 속보  군포시청  서울시  리치웨이   코로나  확진자 동선 공개  군포로 번길 ,0,군포시청  서울시  리치웨이   코로나  확진자 동선 공개  군포로 번길 거주 자료  군포시청  군포시청이 서울시  리치웨이   코로나  확진자의 동선을 공개했다   일 군포시청은 공식 블로그를 통해  서울시  ,1
17, 함양군 브리핑  명품 함양양파 특판  서울서 인기몰이 등,1,  명품 함양양파 특판전 모습   사진제공 함양군    함양군   일 롯데마트 서울역점 양파소비촉진 판촉행사   코로나 로 지친 농심 위로 함양군이  코로나  장기화에 따라 소비 위축 등 판매에 어려움을 겪고 있는  ,1
18, 이십세기  민아  룰라 때문에 다른 가수들 앨범 일정 미뤄 ,1,지난 주 방송된      이십세기 힛트송   회에서는  노래방 대리만족 방구석에서 즐기는 힛 트쏭  을 주제로   코로나 로 노래방 대신 집에서 흥을 폭발시켜줄 수 있는 과거 힛트송으로 시청자들의 무료함을 달랬다  ,1
19, 유플러스   분기 개인용   글라스  출시,0, 유플러스는  코로나 로 인한 언택트 시대에 맞춰  일 엔리얼과 올쇼 를 통해   글라스 온라인 애플리케이션 앱  개발 세미나를 개최한다    글라스를 활용  다양한   앱을 개발할 수 있는   생태계를 만들기  ,1
20,투교협   코로나  이후 중국 증시전망과 투자전략  온라인 특강,0,전국투자자교육협의회는 이달  일 오후  시부터 중국 증시 전문가와 함께 하는  코로나  이후  중국 증시전망과 성공적인 투자전략  온라인 특강을 실시한다고  일 밝혔다  중국시장 전문가인 김경환 하나금융투자  ,1
21,홈플러스   일까지  삼시육끼  기획전 진행,0,이창수 홈플러스 마케팅총괄이사는  고기는 굽고 치우는 과정이 번거로워 대표적인 외식 메뉴였지만  코로나  이후 대표적인 집밥 메뉴로 바뀌고 있다 며  삼시육끼 기획전을 비롯해 앞으로도 달라진  ,1
22,울릉군 신청사 건립 본격 착수   입지선정위원회  개최,0,김병수 울릉군수는  가용부지가 절대부족한 우리 울릉군 특성상 신청사 부지 선정은 우리 군 발전의 미래  년 대계를 결정할 매우 중요한 사안이다 며  코로나  등으로 다소 지연됐지만 울릉군 행정력과  ,1
23,   선  척 수주   방역 신뢰 결과물 ,0,청와대가  일 카타르  액화천연가스  운반선 수주를 지목해  코로나  사태 극복 과정에서 쌓인  방역에  특히 최근 카타르에  코로나  관련 진단장비 공급과  방역 경험 공유 등 양국 간 협력의 범위를 확대했다 고  ,1
24, 산업워치   월급  이제  로봇이 지급해요     자동급여이체 서비스 ,0,이밖에  유플러스는  코로나 로 인한 언택트 시대에 맞춰 엔리얼과 함께  글래스 온라인 앱 개발 세미나를 개최한다  오는  일 오전  시  분부터 한 시간 동안 올쇼 를 통해 실시간으로 참여할 수 있으며 해당  ,1
25,성빈센트병원  혈액난 극복 위한 교직원 헌혈 행사 개최,0,이날 행사는  코로나  장기화에 따라 헌혈이 감소해 혈액 수급에 어려움이 지속됨에 따라 혈액 재고량 안정화 및 수혈이 필요한 환우들에게 힘을 보태기 위해 갖게 됐다  행사는 대한적십자사 경기혈액원에서 헌혈차량을  ,1
26, 당신이 영웅입니다 세정그룹   덕분에 챌린지  동참,0, 당신이 영웅입니다 세정그룹   덕분에 챌린지  동참 세정그룹이 최근  코로나  치료를 위해 힘쓰는  박순호 세정 회장은  코로나 를 극복하기 위해 신속한 대처로 앞장서고 있는 정부 관계자와 밤낮없이 헌신하는  ,1
27, 코로나  의료진  공연보며 힘내세요 ,1, 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들이 가수 수안의 공연을 보고 있다   뉴스 ,1
28,경기도  시 군 부단체장 영상회의서  지역경제 활성화 방안  집중 논의,0, 일 도청 재난상황실에서 김희겸 행정 부지사 주재로 열린 영상 회의 사진제공 경기도 경기도가  코로나  이날 회의에서는 지난달  일 중앙 지방정책협의회 결과를 공유하고  코로나  시대 이후의 지역경제 활성화  ,1
29,    조직위  초고강도 방역으로 안전한 행사 다짐,1,행사를 주최하는 서울시치과의사회 이하 서울지부 는  코로나  관련 사회적 우려에 대한 심각성을    대회장인 김민겸 서울지부 회장은  지난  월 초  코로나 와 관련한 정부 지침이 생활방역으로 바뀌어  ,1
30,서울 아파트값  주만에 하락 보합 전환 큰 폭 조정 없다 ,0,함영진 직방 빅데이터랩장은  코로나 로 인한 시장의 충격이 거래량을 둔화시키고 있긴 하지만 가격이 큰 폭으로 조정되는 것을 기대하기는 제한적이라고 판단된다 고 밝혔다    함 랩장은  올해  만 가구에  ,1
31,울산의 힘 한국의 미래  울산경제자유구역 확정,1,포스트  코로나  시대 극보을 위한 울산형 뉴딜사업 첫 번째 성과로 울산의 미래를 열다  울산시는  포스트  코로나  시대 극보을 위한 울산형 뉴딜사업 첫 번째 성과로 울산의 미래를 여는 새로운 발판을 마련했다는  ,1
32,경기도  유흥업소도 최고  만원 지역화폐로 지원,1,경기도가 신종  코로나 바이러스감염증 코로나  사태의 장기화로 어려움을 겪는 취약노동자와 영세사업자에 대한 긴급 지원에 나섰다  택배기사 등 취약노동자에게는  인당  만원씩 소득손실 보상금을  집합금지  ,1
33,대한체육회   학생심판 양성교육  참여 학교 모집,1,확보하고   코로나  확산 예방을 위한 정부 방역 지침을 준수하여 운영하여야 한다  또한  학생심판  교육은 종목별 강사 선발 및 교육을 마친 후  월에서  월 중 종목별로 시행될 예정이며   코로나  확산 상황에 따라  ,1
34, 코로나 가 바꾼 언론시사회 풍경,1, 일 오후 서울 용산구  용산아이파크몰에서 열릴 예정인 영화  결백  언론시사회를 앞두고 취재진들이 체온측정 후 개인정보를 작성하고 있다   ,1
35, 코로나 가 바꾼 언론 시사회,1, 일 오후 서울 용산구  용산아이파크몰에서 열릴 예정인 영화  결백  언론시사회를 앞두고 취재진들이 생활 속 거리두기 지침을 준수하며 표를 받기 위해 줄 서 있다   ,1
36,전북도  농산시책평가 전국 위 시상금  천만원 전액 기부,1,송하진 도지사는  코로나  등 지역사회를 위해 공무원들이 앞장서서 착한 기부 릴레이를 하고 있다 며 특히  천년 전북의 미래 발전을 책임질 지역인재 양성을 위해 깊은 관심을 가지고 장학사업에 동참하는 것은  ,1
37,정읍시  시청 종합민원실 방문 시 마스크 의무 착용  강화 ,0,최근 이태원 클럽발과 부천 쿠팡물류센터 등  코로나  집단감염 사태가 발생한 만큼 다중 밀집 공간 감염을  의회관 출입문에 설치된 열화상카메라도 지속 운영해  코로나  유입 차단에 총력을 다한다는 방침이다  시  ,1
38,정읍시   코로나  극복 청년 긴급 지원사업 본격 추진,0,업코리아      정읍시청  업코리아  정읍시가  코로나 로 인한 경기침체의 장기화로 경제적 어려움을 겪고 있는 청년들의 생활 여건을 개선하기 위한 긴급 지원에 나선다  시는  코로나  여파로 고용시장이 위축되고  ,1
39,   년 대졸 신입사원 및 경력직 공채  실시,0, 코로나 로 고용시장 전반이 침체된 가운데   는 지난해에 이어 사회 고용 창출을 위한 상반기 공채를 진행한다는 방침이다  채용은  신입부문   전략기획  마케팅  운영   영업   경력부문   직영점장  ,1
40,다단계 판매업체  리치웨이  관련 최소  명 확진 참석자 대부분 노인 ,1,다단계식 건강용품 판매업체  리치웨이 와 관련된 신종  코로나 바이러스 감염증 코로나  확진자가 최소  명 확인됐다  이 업체는 관악구 조원동의 매장에서  판매원 교육 과  세미나  등 명목으로 여러  ,1
41,중기중앙회 신세계백화점  중소기업 소상공인 특별전,0, 코로나 로 어려움을 겪는 중소기업과 소상공인의 판로개척에 도움을 줄 것으로 중기중앙회는 기대했다  추문갑 중기중앙회 경제정책본부장은  백화점 입점이 어려운 중소기업 소상공인에게 이번 특별전은 새로운  ,1
42,김포시  국내 최초 버스 스마트 발열체크기 도입,1,정하영 시장은  장기화 되고 있는  코로나 로부터 우리 스스로를 지키기 위해서는 생활 속 방역이 일상화 돼야 한다 며  이번 발열체크기 도입으로 시민들께서 더욱 안심하고 대중교통을 이용하실 수 있을 것 같다 고  ,1
43, 전문  남양주시청  번째 확진자 발생 동선공개 화도읍 마석우리 서희스타 ,0,남양주시청이  코로나   번째 확진자 발생을 알렸다  남양주시  번째 확진자는  세 여성으로 화도읍 마석우리 서희스타힐스아파트에 거주한다  남양주시청은 감염경로로 서대문구  번째 확진자의  ,1
44,적십자봉사회 호평지회  서로버팀목 후원금  만원 기탁,0,통해  코로나 로 갑작스런 어려움에 처한 취약계층을 위한 후원금  만원을 동부희망케어센터에 지정  김복순 적십자봉사회 호평지회장은  얼마 안 되는 금액이지만 회원들의 정성을 모았다 며 코로나 로 많은  ,1
45,평택시 안중읍 행정복지센터   힘내세요 사장님 소상공인 응원 캠페인 참여,1,이날 안중읍장과 주민참예예산 지역협의회는  찾아가는 읍면동 주민참여예산학교  교육 참석 후  코로나 로 어려움을 겪고 있는 소상공인에게 작은 힘을 보태기 위해 행정복지센터 근처 상가 지역을 찾아 점심 식사를  ,1
46,홍천군  홍천사랑상품권을 통한 지역경제 살리기 캠페인 개최,0,증가하면  코로나  위기에 따른 지역경기 침체에 핵심 돌파구가 될 것으로 전망된다  때문에 홍천군은  한 시장상인은  코로나 가 확산되면서 시장에 손님들의 발길이 끊겨 한동안 많이 어려웠는데 장보기 행사를 통해  ,1
47,화천군 보건의료원 음압 구급차량 구입,1,업코리아      화천군 보건의료원 음압 구급차량 구입  업코리아  화천군 보건의료원이 신속한  코로나  대응을 위해 음압 구급차량을 구입했다  화천군은  코로나  확진자 발생 시 신속히 이송할 수 있는 음압  ,1
48,수출급감 속 경상수지  년만에 최대 적자,1, 코로나  여파로 수출이 급감하며  월 경상수지가  년  개월만에 최대 적자를 냈다  사진은 수출 컨테이너가 모여 있는 부산 신항  사진 연합뉴스 신종 코로나 바이러스 감염증 코로나  사태로 수출이  ,1
49,영동소방서 학산 안전센터 구급대원 칭찬글  감동 ,1,임환호 소방교는  코로나 로 국민 모두가 힘든 시기에 소방공무원으로서 당연한 일이었는데 이렇게 칭찬해주셔서 정말 감사하다 며  앞으로도 더욱 더 신속하고 친절한 서비스로 국민의 생명과 안전을 위해 최선을  ,1
50,계룡시  여름철  폭염대응  종합대책 추진,0,특히 이번 폭염대응은  코로나  감염 예방 및 확산 방지를 위해 많은 사람이 모이거나 접촉가능성이 높은  행동요령과  코로나  감염예방을 위한 냉방기기 사용법 등을 홍보해 주민 건강과 안전 제고에 집중할 예정이다 ,1
51,중기중앙회  신세계백화점서  중소기업 소상공인 특별전  개최,0,특별전은 신종  코로나 바이러스 감염증 코로나 로 어려움을 겪고 있는 중소기업과 소상공인의 판로개척을 위해 기획됐다  이 행사는 지난  월 신세계백화점 본점에서 처음 개최한 이후 의정부 대구 광주 부산 등  ,1
52,무주군  공공산림가꾸기  두 마리 토끼  잡아,0,사업추진에 앞서 지난  월 산림바이오매스 수집단  명을 선발 완료하고 참여자를 대상으로  코로나  관련  산림녹지과 이상일 산림조성 팀장은  코로나 로 침체되어 있는 상황에서 이번 사업을 통해 사회적  ,1
53,속초시  시민중심원탁회의 제 차 자문회의 개최,0, 시민중심원탁회의 는 당초  월중 개최할 예정이었으나  코로나  확산방지를 위해 부득이하게 연기된 이후   월부터 생활 속 거리두기로 방역지침이 전환됨에 따라 발열체크  손소독제 비치  마스크 착용 등 방역에  ,1
54,평택시 바르게살기 세교동 위원회  현충일 맞아 태극기달기운동 전개,0,강경화 위원장은  월 호국영령의 달을 맞아 순국선열들을 기리는 가장 첫걸음은 태극기 게양이라 생각 한다 며  코로나 로 인해 외출이 어려운 만큼  태극기 게양을 통해 순국선열에 대한 감사한 마음을 되새기는 날이  ,1
55,셀트리온   램시마  제형간 유효성 차이 없어 ,0, 는  일부터  일까지 독일 프랑크푸르트에서 열릴 예정이었으나  코로나 로 인해 온라인으로 진행됐다  이번 임상결과 자료는 학회 홈페이지를 통해 공개됐다   일 셀트리온에 따르면  에서 발표한 임상  ,1
56, 분에 끝내는 오늘의 축구 이슈   월  일 해축 브리핑,0,그날의 이슈를 정리해 한눈에 볼 수 있게 정리했다   코로나   토트넘  하세베  리버풀  베르너  외질 그래픽 황지영  사진 게티이미지코리아     포포투  무단 전재 및 재배포 금지,1
57,올해도 찾아온 폭염 대구 더위 방역 둘 다 잡을까,1,대구에 올해 첫 폭염특보가 내려진 가운데 대구시가 신종  코로나 바이러스감염증 코로나  방역과 연계한 폭염대책을 마련했다  거리두기를 유지하면서 폭염취약계층 지원을 확대하는 것에 초점을 맞췄는데 냉방이  ,1
58,건강용품업체  리치웨이  관련 확진자 최소  명 대부분 어르신들 ,1,다단계식 건강용품 판매업체  리치웨이  관련  코로나  확진자가  일 오전까지 최소  명 파악됐다  지난  일 리치웨이에 다녀온 안산  번 환자는 다음날인 지난  일부터 두통과 인후통 등  코로나  의심 증상이  ,1
59,수안  지친 의료진들을 위한 노래 ,1,가수 수안이  일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들을 위해 공연을 펼치고 있다   뉴스 ,1
60,수안  지친 의료진들을 위한 노래 ,1,가수 수안이  일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들을 위해 공연을 펼치고 있다   뉴스 ,1
61,제주   코로나  상황에 해수욕장 개장 운영대책  부심 ,1,여름철 해수욕장 개장을 앞두고 신종  코로나  바이러스 감염증 코로나  확산세가 꺾이지 않으면서  제주자치도가 해수욕장 운영대책 수립에 부심하고 있다  제주특별자치도는 오는  일 제주도청  청사 탐라홀에서  ,1
62, 뺄수록 잘나가네  당 나트륨 지방 최소화한  로우푸드  인기,0,정식품 관계자는  코로나  이후 건강을 챙기는 트렌드에 따라 저당  저염  저지방에 대한 소비자들의 관심이 더욱 높아지고 있다 며  앞으로도 맛은 물론 체계적인 영양설계로 누구나 안심하고 건강하게 즐길 수  ,1
63,경북교육청  고 학생  분기 학비 전액 반환   분기는 면제,1,경북교육청은  코로나 로 경제적 어려움을 겪고 있는 학부모의 교육비 부담을 덜어주기 위해 미리 납부한  임종식 교육감은  학비 반환을 통해  코로나  장기화로 어려움을 겪고 있는 학부모의 교육비 부담을  ,1
64,마이다스에셋   아시아 리더스 테크 성장주 목표전환형 펀드  기준가 달성,0,오남훈 주식운용 본부장은  테크 업종 내에서도  코로나 와 미중 무역분쟁으로 일부 수혜를 입는 기업들이 있었다 며  기본적으로   전기차  자동화 로봇 등의 주요 테마에 집중하여 목표 성과를 달성할 수  ,1
65,신한카드  구독경제 주목  딥원스카드  새 광고 시작,1,올  월에 출시된 딥원스카드는 구독 경제에 특화한 상품으로  코로나  등의 영향으로 사회적 거리 두기를 일상화한 언택트 시대에 더욱 주목 받고 있다  이번 광고에서 신한카드는 매달 비용을 내고 필요한 물건과  ,1
66,세종시 아동청소년과  농촌 일손돕기 앞장,0, 중부매일 홍종윤 기자  세종시 아동청소년과 직원들이  코로나  장기화로 농번기 일손 부족 현상을  김종락 아동청소년과장은  코로나 와 농번기가 겹치면서 일손부족으로 어려움을 겪고 있는 농가에 조금이나마  ,1
67, 캐피탈  한국 과  월 쉐보레 콤보 할부,1, 선수금  만원 기준  또 쉐보레는  월에 이어  월에도  코로나 로 인한 어려움 속에서도 수고하고 있는 이들을 격려하기 위해  우리들의 히어로 여러분을 쉐보레가 응원합니다              ,1
68,어제 하루 환자  명 추가 종교 소모임 등 산발적 감염,0,종교 소모임 관련 등 산발적 감염으로 어제 하루  코로나  신규 환자가  명 늘었습니다  중앙방역대책본부는 오늘  시 기준 국내 확진자는  명  사망자는 추가 없이  명이라고 밝혔습니다  교회 관련 등  ,1
69,인테리어 공사 불만족   안심 인테리어플랫폼  뚝딱 이 해결사로 나선다   ,0, 코로나  이후 집에 있는 시간이 늘어나면서 집을 휴식공간  홈엔터테인먼트 공간  나만의 공간으로 꾸미려는 인테리어 수요가 증가하고  인테리어 시공 결과에 대해 불만을 표시하는 소비자도 덩달아 증가하고 있다  ,1
70, 의료진 힘내세요 ,1, 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들이 가수 수안의 공연을 보고 있다   뉴스 ,1
71, 무궁화  동두천시자원봉사센터 이동세탁차량 세제지원 협약,0,이날 행사에 참여한 최용덕 시장은  무궁화는 지난  일  코로나  극복을 위한 나눔키트 세제  비누  전달에 이어  이동세탁차량 운영사업에도 세제 및 섬유유연제를 지원해주셔서 다시 한 번 감사드린다 며  관내에  ,1
72, 월 일 환경의 날  저축은행업계  친환경 경영 녹색금융 정책 확산,1, 코로나 로 언택트 소비에 따른 일회용품 소비가 늘어나면서 폐기물 등 환경과 직결된 난제들이 포스트  코로나  시대의 과제로 자리 잡게 됐다  정부 또한 포스트  코로나 를 대비하기 위해  그린뉴딜 을 국가 주요 정책으로  ,1
73,  경남 김해에 제 데이터센터   건립,0, 은 자체 보유한 통합 클라우드 서비스  의 사업 확대와 더불어  포스트  코로나  시대로 본격화된 디지털 전환으로 클라우드 수요 급증이 예상됨에 따라  의 데이터 수용 능력을 넘어선 새로운  데이터  ,1
74,농어촌   억 상생펀드 조성해 중소기업과 동반성장,0,광주전남 지역 소재 중소기업과 일자리창출기업은 최대  억 원  창업기업과  코로나  피해 중소기업은 최대  이번 상생펀드를 통한 대출금리 우대는 실질적인 이자 부담 완화로  코로나 로 경영의 어려움을 겪고 있는  ,1
75, 학원도  코드 도입 학원법 개정도 추진,0,최근 학원을 통한  코로나  감염 사례가 이어지자 교육부는 방역수칙을 위반하는 학원을 처벌하기 위해  올  월 이후 전국  개 학원에서 학생과 강사 등  명이  코로나 에 감염됐습니다   유은혜   부총리 겸 교육부  ,1
76,삼성고  방역활동 인력 채용  접수  일까지,0,채용부문은  코로나  학교 방역활동 인력이다  채용 후  코로나  대응 학생 보호 방역활동 및 생활지도 지원 인력 운용등을 담당하게 된다  보수는 시급  만  원이다  채용기간은  일부터  월 일까지다  모집인원은  ,1
77,한국판 뉴딜에  조 투자   디지털 그린 산업 신진대사 촉진 ,0, 코로나  경제 위기 극복의 해법치고는 비중이 크지 않은데  정부는  년까지  배에 달하는  조 원을  산업의 신진대사를 촉진하는 것이  코로나  위기를 기회로 살리는 방향이라고 보고 있습니다    신호입니다 ,1
78,체리쉬  창립  주년 기념 특가 이벤트 이달까지 연장 회원 대상 침실 주방 ,0,체리쉬는  코로나 로 인한 어려움이 이어지는 가운데   대한민국 동행세일 에 동참하는 취지로 지난  월 말부터 진행했던 창립  주년 특가 이벤트를 오는  일까지 연장한다고 밝혔다  체리쉬는 이번 특가 이벤트를 통해  ,1
